"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"1"	"2298-c"	1455300904392	2	"subSuperTrial"	"basic23"	"suv"	"target"	2	3	"car"	"vehicle"	"ambulance"	"distractor"	3	4	NA	"vehicle"	"pottedPlant"	"distractor"	4	2	NA	"plant"	"SUV"	""	"1455300901773"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"198"	"3791-8"	1455301581010	58	"subSuperTrial"	"basic22"	"suv"	"target"	2	4	"car"	"vehicle"	"motorcycle"	"distractor"	4	2	NA	"vehicle"	"ambulance"	"distractor"	3	3	NA	"vehicle"	"suv"	""	"1455301578042"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"282"	"9165-a"	1455301117637	8	"subSuperTrial"	"basic22"	"suv"	"target"	2	4	"car"	"vehicle"	"train"	"distractor"	3	3	NA	"vehicle"	"ambulance"	"distractor"	4	2	NA	"vehicle"	"SUV"	""	"1455301115276"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"389"	"9973-0"	1455301076174	6	"subSuperTrial"	"basic23"	"suv"	"target"	2	4	"car"	"vehicle"	"firetruck"	"distractor"	3	3	NA	"vehicle"	"gloves"	"distractor"	4	2	NA	"clothing"	"suv"	""	"1455301074701"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"452"	"4855-c"	1455301568246	64	"subSuperTrial"	"basic33"	"suv"	"target"	3	2	"car"	"vehicle"	"bison"	"distractor"	4	4	NA	"animal"	"popcorn"	"distractor"	2	3	NA	"snack"	"suv"	""	"1455301565729"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"642"	"4810-9"	1455301421313	14	"subSuperTrial"	"basic33"	"suv"	"target"	3	4	"car"	"vehicle"	"cookies"	"distractor"	2	3	NA	"snack"	"pig"	"distractor"	4	2	NA	"animal"	"SUV"	""	"1455301419921"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"735"	"3197-1"	1455301545481	20	"subSuperTrial"	"basic23"	"suv"	"target"	2	3	"car"	"vehicle"	"ambulance"	"distractor"	4	4	NA	"vehicle"	"bison"	"distractor"	3	2	NA	"animal"	"whit suv"	""	"1455301542284"	"whit suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"784"	"5611-0"	1455301673505	41	"subSuperTrial"	"basic23"	"suv"	"target"	2	4	"car"	"vehicle"	"train"	"distractor"	3	2	NA	"vehicle"	"ivy"	"distractor"	4	3	NA	"plant"	"suv"	""	"1455301671768"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"820"	"4205-4"	1455301786102	49	"subSuperTrial"	"basic22"	"suv"	"target"	4	4	"car"	"vehicle"	"ambulance"	"distractor"	2	2	NA	"vehicle"	"train"	"distractor"	3	3	NA	"vehicle"	"suv"	""	"1455301784675"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"856"	"9554-c"	1455301840724	45	"subSuperTrial"	"basic12"	"suv"	"target"	3	3	"car"	"vehicle"	"sedan"	"distractor"	4	4	"car"	"vehicle"	"train"	"distractor"	2	2	NA	"vehicle"	"suv"	""	"1455301838979"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"886"	"8344-c"	1455301865320	29	"subSuperTrial"	"basic23"	"suv"	"target"	2	3	"car"	"vehicle"	"rabbit"	"distractor"	4	4	NA	"animal"	"motorcycle"	"distractor"	3	2	NA	"vehicle"	"van"	""	"1455301864134"	"van"	"suv"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"979"	"7949-f"	1455301787584	4	"subSuperTrial"	"basic23"	"suv"	"target"	2	3	"car"	"vehicle"	"ambulance"	"distractor"	4	2	NA	"vehicle"	"popcorn"	"distractor"	3	4	NA	"snack"	"suv"	""	"1455301786198"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1044"	"0071-5"	1455302677039	60	"subSuperTrial"	"basic12"	"suv"	"target"	4	3	"car"	"vehicle"	"ambulance"	"distractor"	2	4	NA	"vehicle"	"sedan"	"distractor"	3	2	"car"	"vehicle"	"SUV"	""	"1455302674001"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1110"	"6426-3"	1455303064630	49	"subSuperTrial"	"basic23"	"suv"	"target"	2	4	"car"	"vehicle"	"ambulance"	"distractor"	3	3	NA	"vehicle"	"snake"	"distractor"	4	2	NA	"animal"	"white suv facing left"	""	"1455303054570"	"white suv facing left"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1150"	"1984-6"	1455302257652	57	"subSuperTrial"	"basic12"	"suv"	"target"	4	4	"car"	"vehicle"	"train"	"distractor"	3	3	NA	"vehicle"	"sedan"	"distractor"	2	2	"car"	"vehicle"	"suv"	""	"1455302255463"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1217"	"9617-1"	1455302368814	23	"subSuperTrial"	"basic23"	"suv"	"target"	4	2	"car"	"vehicle"	"dress"	"distractor"	3	4	NA	"clothing"	"train"	"distractor"	2	3	NA	"vehicle"	"Suv"	""	"1455302366923"	"Suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1340"	"0585-7"	1455302725001	58	"subSuperTrial"	"basic23"	"suv"	"target"	3	3	"car"	"vehicle"	"ambulance"	"distractor"	4	2	NA	"vehicle"	"squirrel"	"distractor"	2	4	NA	"animal"	"suv"	""	"1455302722986"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1375"	"3747-d"	1455302733988	50	"subSuperTrial"	"basic33"	"suv"	"target"	4	4	"car"	"vehicle"	"ivy"	"distractor"	2	2	NA	"plant"	"bathrobe"	"distractor"	3	3	NA	"clothing"	"SUV"	""	"1455302732401"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1423"	"1448-1"	1455302654099	5	"subSuperTrial"	"basic22"	"suv"	"target"	3	3	"car"	"vehicle"	"ambulance"	"distractor"	2	4	NA	"vehicle"	"train"	"distractor"	4	2	NA	"vehicle"	"White SUV"	""	"1455302652451"	"White SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1552"	"0422-5"	1455303613021	54	"subSuperTrial"	"basic12"	"suv"	"target"	4	3	"car"	"vehicle"	"ambulance"	"distractor"	2	2	NA	"vehicle"	"sedan"	"distractor"	3	4	"car"	"vehicle"	"SUV"	""	"1455303609505"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1584"	"1625-9"	1455303432632	4	"subSuperTrial"	"basic22"	"suv"	"target"	4	4	"car"	"vehicle"	"firetruck"	"distractor"	3	2	NA	"vehicle"	"train"	"distractor"	2	3	NA	"vehicle"	"white SUV"	""	"1455303429720"	"white SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1731"	"5699-7"	1455305520820	10	"subSuperTrial"	"basic33"	"suv"	"target"	4	3	"car"	"vehicle"	"rosemary"	"distractor"	2	2	NA	"plant"	"sheep"	"distractor"	3	4	NA	"animal"	"SUV"	""	"1455305519233"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1827"	"6625-1"	1455306150460	51	"subSuperTrial"	"basic23"	"suv"	"target"	3	4	"car"	"vehicle"	"squirrel"	"distractor"	2	2	NA	"animal"	"firetruck"	"distractor"	4	3	NA	"vehicle"	"suv"	""	"1455306148638"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1860"	"7082-7"	1455305931351	53	"subSuperTrial"	"basic12"	"suv"	"target"	4	3	"car"	"vehicle"	"sedan"	"distractor"	3	2	"car"	"vehicle"	"ambulance"	"distractor"	2	4	NA	"vehicle"	"suv"	""	"1455305930057"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1975"	"6517-b"	1455307038747	9	"subSuperTrial"	"basic33"	"suv"	"target"	4	2	"car"	"vehicle"	"lobster"	"distractor"	2	4	NA	"animal"	"wardrobe"	"distractor"	3	3	NA	"furniture"	"suv"	""	"1455307037194"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2024"	"3188-4"	1455304209896	31	"subSuperTrial"	"basic12"	"suv"	"target"	4	3	"car"	"vehicle"	"train"	"distractor"	3	2	NA	"vehicle"	"sedan"	"distractor"	2	4	"car"	"vehicle"	"silver SUV"	""	"1455304208113"	"silver SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2132"	"0189-3"	1455315833501	31	"subSuperTrial"	"basic22"	"suv"	"target"	4	3	"car"	"vehicle"	"train"	"distractor"	3	2	NA	"vehicle"	"ambulance"	"distractor"	2	4	NA	"vehicle"	"SUV"	""	"1455315829758"	"SUV"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2171"	"9173-f"	1455315332142	39	"subSuperTrial"	"basic23"	"suv"	"target"	3	2	"car"	"vehicle"	"socks"	"distractor"	4	4	NA	"clothing"	"ambulance"	"distractor"	2	3	NA	"vehicle"	"suv"	""	"1455315330886"	"suv"	"suv"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
