"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"19"	"2298-c"	1455301109975	40	"subSuperTrial"	"basic23"	"rose"	"target"	4	4	"flower"	"plant"	"elephant"	"distractor"	3	3	NA	"animal"	"pottedPlant"	"distractor"	2	2	NA	"plant"	"Rose"	""	"1455301108565"	"Rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"136"	"8691-5"	1455300991144	4	"subSuperTrial"	"basic23"	"rose"	"target"	4	3	"flower"	"plant"	"pretzels"	"distractor"	2	4	NA	"snack"	"grasses"	"distractor"	3	2	NA	"plant"	"rose"	""	"1455300989627"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"178"	"3791-8"	1455301242452	17	"subSuperTrial"	"basic33"	"rose"	"target"	3	4	"flower"	"plant"	"crocodile"	"distractor"	4	2	NA	"animal"	"dress"	"distractor"	2	3	NA	"clothing"	"rose"	""	"1455301240970"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"217"	"5664-b"	1455301186515	22	"subSuperTrial"	"basic23"	"rose"	"target"	3	4	"flower"	"plant"	"rosemary"	"distractor"	4	3	NA	"plant"	"bison"	"distractor"	2	2	NA	"animal"	"rose"	""	"1455301185200"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"290"	"9165-a"	1455301201984	20	"subSuperTrial"	"basic12"	"rose"	"target"	2	4	"flower"	"plant"	"ivy"	"distractor"	4	2	NA	"plant"	"lily"	"distractor"	3	3	"flower"	"plant"	"rose"	""	"1455301200307"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"343"	"1749-c"	1455301357708	58	"subSuperTrial"	"basic23"	"rose"	"target"	3	2	"flower"	"plant"	"rosemary"	"distractor"	2	4	NA	"plant"	"socks"	"distractor"	4	3	NA	"clothing"	"rose"	""	"1455301356562"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"376"	"4242-5"	1455301655922	57	"subSuperTrial"	"basic12"	"rose"	"target"	2	4	"flower"	"plant"	"lily"	"distractor"	4	2	"flower"	"plant"	"pottedPlant"	"distractor"	3	3	NA	"plant"	"the red rose"	""	"1455301654505"	"the red rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"482"	"4886-d"	1455301398596	49	"subSuperTrial"	"basic22"	"rose"	"target"	3	4	"flower"	"plant"	"pottedPlant"	"distractor"	2	2	NA	"plant"	"grasses"	"distractor"	4	3	NA	"plant"	"rose"	""	"1455301397503"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"509"	"6879-8"	1455301324763	31	"subSuperTrial"	"basic23"	"rose"	"target"	3	4	"flower"	"plant"	"lobster"	"distractor"	4	2	NA	"animal"	"pottedPlant"	"distractor"	2	3	NA	"plant"	"rose"	""	"1455301322317"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"543"	"0842-a"	1455301517281	28	"subSuperTrial"	"basic33"	"rose"	"target"	2	2	"flower"	"plant"	"wardrobe"	"distractor"	4	3	NA	"furniture"	"motorcycle"	"distractor"	3	4	NA	"vehicle"	"rose"	""	"1455301515645"	"rose"	"rose"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
