"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"172"	"3791-8"	1455301017575	2	"subSuperTrial"	"basic12"	"tShirt"	"target"	4	3	"shirt"	"clothing"	"gloves"	"distractor"	2	2	NA	"clothing"	"campShirt"	"distractor"	3	4	"shirt"	"clothing"	"dark blue t"	""	"1455301015054"	"dark blue t"	"tShirt"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"704"	"3084-5"	1455301925892	28	"subSuperTrial"	"basic23"	"tShirt"	"target"	2	3	"shirt"	"clothing"	"wardrobe"	"distractor"	3	2	NA	"furniture"	"bathrobe"	"distractor"	4	4	NA	"clothing"	"blue t shirt"	""	"1455301923169"	"blue t shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"948"	"0327-7"	1455301766801	16	"subSuperTrial"	"basic12"	"tShirt"	"target"	4	4	"shirt"	"clothing"	"bathrobe"	"distractor"	3	2	NA	"clothing"	"campShirt"	"distractor"	2	3	"shirt"	"clothing"	"blue t shirt"	""	"1455301763633"	"blue t shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1421"	"1448-1"	1455302638685	3	"subSuperTrial"	"basic23"	"tShirt"	"target"	4	2	"shirt"	"clothing"	"bathrobe"	"distractor"	2	4	NA	"clothing"	"motorcycle"	"distractor"	3	3	NA	"vehicle"	"Blue T shirt"	""	"1455302636363"	"Blue T shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1549"	"0422-5"	1455303575144	49	"subSuperTrial"	"basic12"	"tShirt"	"target"	2	2	"shirt"	"clothing"	"campShirt"	"distractor"	4	4	"shirt"	"clothing"	"gloves"	"distractor"	3	3	NA	"clothing"	"t-shirt"	""	"1455303572615"	"t-shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1589"	"1625-9"	1455303716416	18	"subSuperTrial"	"basic33"	"tShirt"	"target"	3	3	"shirt"	"clothing"	"cookies"	"distractor"	2	2	NA	"snack"	"rabbit"	"distractor"	4	4	NA	"animal"	"blue t-shirt"	""	"1455303711190"	"blue t-shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1695"	"4509-7"	1455304555649	12	"subSuperTrial"	"basic33"	"tShirt"	"target"	4	2	"shirt"	"clothing"	"ambulance"	"distractor"	3	4	NA	"vehicle"	"rhino"	"distractor"	2	3	NA	"animal"	"t shirt"	""	"1455304554142"	"t shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1741"	"5699-7"	1455305674391	27	"subSuperTrial"	"basic23"	"tShirt"	"target"	3	2	"shirt"	"clothing"	"cow"	"distractor"	2	3	NA	"animal"	"dress"	"distractor"	4	4	NA	"clothing"	"t-shirt"	""	"1455305672555"	"t-shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1767"	"7960-f"	1455303886041	7	"subSuperTrial"	"basic22"	"tShirt"	"target"	3	3	"shirt"	"clothing"	"socks"	"distractor"	2	4	NA	"clothing"	"dress"	"distractor"	4	2	NA	"clothing"	"tshirt"	""	"1455303871060"	"tshirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1883"	"4123-8"	1455306484735	24	"subSuperTrial"	"basic22"	"tShirt"	"target"	3	2	"shirt"	"clothing"	"gloves"	"distractor"	4	3	NA	"clothing"	"bathrobe"	"distractor"	2	4	NA	"clothing"	"t shirt"	""	"1455306483745"	"t shirt"	"tShirt"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
