"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"189"	"3791-8"	1455301465690	42	"subSuperTrial"	"basic33"	"goldFish"	"target"	2	2	"fish"	"animal"	"gloves"	"distractor"	4	3	NA	"clothing"	"grasses"	"distractor"	3	4	NA	"plant"	"goldfish"	""	"1455301464443"	"goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"288"	"9165-a"	1455301189546	18	"subSuperTrial"	"basic12"	"goldFish"	"target"	4	4	"fish"	"animal"	"discusFish"	"distractor"	2	2	"fish"	"animal"	"kitten"	"distractor"	3	3	NA	"animal"	"goldfish"	""	"1455301188116"	"goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"315"	"1749-c"	1455300983293	1	"subSuperTrial"	"basic22"	"goldFish"	"target"	4	2	"fish"	"animal"	"rabbit"	"distractor"	2	3	NA	"animal"	"cow"	"distractor"	3	4	NA	"animal"	"It is the goldfish"	""	"1455300980887"	"It is the goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"365"	"4242-5"	1455301423964	34	"subSuperTrial"	"basic12"	"goldFish"	"target"	3	2	"fish"	"animal"	"discusFish"	"distractor"	2	4	"fish"	"animal"	"squirrel"	"distractor"	4	3	NA	"animal"	"the goldfish"	""	"1455301422186"	"the goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"405"	"9973-0"	1455301285560	42	"subSuperTrial"	"basic12"	"goldFish"	"target"	3	4	"fish"	"animal"	"horse"	"distractor"	4	3	NA	"animal"	"discusFish"	"distractor"	2	2	"fish"	"animal"	"goldfish"	""	"1455301283899"	"goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"496"	"6879-8"	1455301172645	3	"subSuperTrial"	"basic22"	"goldFish"	"target"	4	4	"fish"	"animal"	"iguana"	"distractor"	2	2	NA	"animal"	"lobster"	"distractor"	3	3	NA	"animal"	"goldfish"	""	"1455301169768"	"goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"628"	"8691-9"	1455301711572	57	"subSuperTrial"	"basic12"	"goldFish"	"target"	4	2	"fish"	"animal"	"discusFish"	"distractor"	3	4	"fish"	"animal"	"crocodile"	"distractor"	2	3	NA	"animal"	"goldfish"	""	"1455301709665"	"goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"644"	"4810-9"	1455301438421	16	"subSuperTrial"	"basic33"	"goldFish"	"target"	4	4	"fish"	"animal"	"popcorn"	"distractor"	2	3	NA	"snack"	"bookcase"	"distractor"	3	2	NA	"furniture"	"goldfish"	""	"1455301437281"	"goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"703"	"3084-5"	1455301827643	23	"subSuperTrial"	"basic12"	"goldFish"	"target"	4	4	"fish"	"animal"	"discusFish"	"distractor"	3	3	"fish"	"animal"	"rabbit"	"distractor"	2	2	NA	"animal"	"GOLD fish"	""	"1455301815482"	"GOLD fish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"762"	"3197-1"	1455301980199	72	"subSuperTrial"	"basic12"	"goldFish"	"target"	4	3	"fish"	"animal"	"lion"	"distractor"	3	4	NA	"animal"	"discusFish"	"distractor"	2	2	"fish"	"animal"	"goldfish"	""	"1455301978775"	"goldfish"	"goldFish"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
