gameid	 time	 roundNum	 condition	 nameClickedObj	 targetStatusClickedObj	 spLocsClickedObj	 lisLocsClickedObj	 alt1Name	 alt1TargetStatus	 alt1SpLocs	 alt1LisLocs	 alt2Name	 alt2TargetStatus	 alt2SpLocs	 alt2LisLocs 	numMessages	numSMessages	numLMessages	speakerMessages	listenerMessages	messageTimeStamps	refExp	sizeMentioned	colorMentioned	typeMentioned	clickedType	clickedSize	clickedColor
1382-f	1447427723596	1	filler	rubberduck	target	3	3	ketchup	distractor	2	1	toilet	distractor	1	2	1	1	0	duck		1447427722092	duck	False	False	False	rubberduck	NA	NA
1382-f	1447427727445	2	colorOnly	big_blue_folder	target	1	1	big_green_folder	distractor	3	2	small_green_folder	distractor	2	3	1	1	0	blue		1447427726106	blue	False	True	False	folder	big	blue
1382-f	1447427730890	3	colorOnly	big_pink_bucket	target	2	3	small_red_bucket	distractor	3	2	big_red_bucket	distractor	1	1	1	1	0	pink		1447427729650	pink	False	True	False	bucket	big	pink
1382-f	1447427734247	4	filler	artichoke	target	3	2	lion	distractor	1	3	tire	distractor	2	1	1	1	0	green		1447427733197	green	False	False	False	artichoke	NA	NA
1382-f	1447427737431	5	filler	smokedetector	target	2	3	mailbox	distractor	1	1	kiwi	distractor	3	2	1	1	0	alarm		1447427736363	alarm	False	False	False	smokedetector	NA	NA
1382-f	1447427740047	6	colorOnly	big_pink_phone	target	1	3	small_white_phone	distractor	3	1	big_white_phone	distractor	2	2	1	1	0	pink		1447427739155	pink	False	True	False	phone	big	pink
1382-f	1447427743000	7	filler	football	target	3	3	snake	distractor	1	2	hotdog	distractor	2	1	1	1	0	football		1447427742115	football	False	False	True	football	NA	NA
1382-f	1447427745911	8	filler	gloves	target	2	3	lion	distractor	3	1	firetruck	distractor	1	2	1	1	0	pink		1447427744896	pink	False	False	False	gloves	NA	NA
1382-f	1447427749047	9	filler	lobster	target	3	3	orange	distractor	2	1	violin	distractor	1	2	1	1	0	red		1447427748029	red	False	False	False	lobster	NA	NA
1382-f	1447427751777	10	filler	bear	target	3	1	fox	distractor	1	2	coconut	distractor	2	3	1	1	0	bear		1447427750807	bear	False	False	True	bear	NA	NA
1382-f	1447427754785	11	filler	chick	target	2	2	firetruck	distractor	1	3	snake	distractor	3	1	1	1	0	chick		1447427753830	chick	False	False	True	chick	NA	NA
1382-f	1447427758690	12	sizeOnly	small_blue_toothbrush	target	2	2	big_red_toothbrush	distractor	3	1	big_blue_toothbrush	distractor	1	3	1	1	0	small blue		1447427757307	small blue	True	True	False	toothbrush	small	blue
1382-f	1447427761452	13	filler	sheep	target	1	2	cactus	distractor	3	1	garbagecan	distractor	2	3	1	1	0	white		1447427760388	white	False	False	False	sheep	NA	NA
1382-f	1447427764038	14	colorAndSize	small_red_pepper	target	2	1	big_green_pepper	distractor	1	3	big_green_pepper	distractor	3	2	1	1	0	red		1447427762939	red	False	True	False	pepper	small	red
1382-f	1447427767063	15	colorOnly	small_blue_candle	target	3	1	small_red_candle	distractor	2	2	big_red_candle	distractor	1	3	1	1	0	purple		1447427765848	purple	False	False	False	candle	small	blue
1382-f	1447427769839	16	filler	cactus	target	2	2	garlic	distractor	1	3	basketball	distractor	3	1	1	1	0	green		1447427768832	green	False	False	False	cactus	NA	NA
1382-f	1447427773262	17	colorOnly	small_yellow_napkin	target	1	3	small_orange_napkin	distractor	2	2	big_orange_napkin	distractor	3	1	1	1	0	yellow		1447427772208	yellow	False	True	False	napkin	small	yellow
1382-f	1447427776514	18	filler	snake	target	2	3	zucchini	distractor	1	2	penguin	distractor	3	1	1	1	0	snake		1447427775465	snake	False	False	True	snake	NA	NA
1382-f	1447427780332	19	colorOnly	big_orange_cushion	target	2	1	small_blue_cushion	distractor	3	3	big_blue_cushion	distractor	1	2	1	1	0	orange		1447427779071	orange	False	True	False	cushion	big	orange
1382-f	1447427784778	20	colorAndSize	big_pink_weddingcake	target	2	3	small_white_weddingcake	distractor	3	1	small_white_weddingcake	distractor	1	2	1	1	0	pink		1447427783737	pink	False	True	False	weddingcake	big	pink
1382-f	1447427788483	21	colorOnly	small_green_jacket	target	3	2	big_brown_jacket	distractor	1	1	small_brown_jacket	distractor	2	3	1	1	0	green		1447427787415	green	False	True	False	jacket	small	green
1382-f	1447427794530	22	filler	bulldozer	target	2	2	clarinet	distractor	3	1	lion	distractor	1	3	1	1	0	yellow		1447427793538	yellow	False	False	False	bulldozer	NA	NA
1382-f	1447427797371	23	filler	cherries	target	3	2	binoculars	distractor	2	3	coconut	distractor	1	1	1	1	0	red		1447427796325	red	False	False	False	cherries	NA	NA
1382-f	1447427800887	24	colorOnly	big_black_avocado	target	2	1	small_green_avocado	distractor	1	2	big_green_avocado	distractor	3	3	1	1	0	black		1447427799695	black	False	True	False	avocado	big	black
1382-f	1447427803664	25	filler	fox	target	1	3	cactus	distractor	2	2	fireextinguisher	distractor	3	1	1	1	0	fox		1447427802511	fox	False	False	True	fox	NA	NA
1382-f	1447427806792	26	filler	hotdog	target	1	2	basketball	distractor	3	1	kitten	distractor	2	3	1	1	0	hot dog		1447427805817	hot dog	False	False	False	hotdog	NA	NA
1382-f	1447427811562	27	filler	eggplant	target	2	1	snake	distractor	3	3	elephant	distractor	1	2	1	1	0	black		1447427810557	black	False	False	False	eggplant	NA	NA
1382-f	1447427814847	28	sizeOnly	small_red_stapler	target	2	2	big_red_stapler	distractor	3	3	big_purple_stapler	distractor	1	1	1	1	0	small red		1447427813981	small red	True	True	False	stapler	small	red
1382-f	1447427821696	29	filler	orange	target	3	1	raspberry	distractor	2	2	pumpkin	distractor	1	3	1	1	0	orange fruit		1447427819882	orange fruit	False	False	True	orange	NA	NA
1382-f	1447427824911	30	filler	santahat	target	2	2	football	distractor	3	1	crocodile	distractor	1	3	1	1	0	red		1447427823724	red	False	False	False	santahat	NA	NA
1382-f	1447427828761	31	sizeOnly	small_green_framee	target	2	3	big_pink_framee	distractor	3	1	big_green_framee	distractor	1	2	1	1	0	small green		1447427827634	small green	True	True	False	framee	small	green
1382-f	1447427831799	32	filler	violin	target	1	1	iguana	distractor	2	3	basketball	distractor	3	2	1	1	0	violin		1447427830774	violin	False	False	True	violin	NA	NA
1382-f	1447427835720	33	filler	kiwi	target	2	3	hotdog	distractor	1	1	iguana	distractor	3	2	1	1	0	kiwi		1447427834716	kiwi	False	False	True	kiwi	NA	NA
1382-f	1447427839086	34	filler	snowflake	target	2	3	lemon	distractor	1	1	strawberry	distractor	3	2	1	1	0	snow		1447427838179	snow	False	False	False	snowflake	NA	NA
1382-f	1447427841854	35	filler	television	target	3	1	mailbox	distractor	2	2	bear	distractor	1	3	1	1	0	tv		1447427840665	tv	False	False	False	television	NA	NA
1382-f	1447427844942	36	filler	horse	target	3	2	iguana	distractor	2	1	mailbox	distractor	1	3	1	1	0	horse		1447427844044	horse	False	False	True	horse	NA	NA
1382-f	1447427848569	37	colorAndSize	small_black_turtle	target	1	3	big_brown_turtle	distractor	2	1	big_brown_turtle	distractor	3	2	1	1	0	black		1447427847491	black	False	True	False	turtle	small	black
1382-f	1447427851726	38	colorAndSize	small_green_guitar	target	1	1	big_blue_guitar	distractor	3	3	big_blue_guitar	distractor	2	2	1	1	0	green		1447427850771	green	False	True	False	guitar	small	green
1382-f	1447427855823	39	filler	cherries	target	3	2	television	distractor	2	3	artichoke	distractor	1	1	1	1	0	red		1447427854922	red	False	False	False	cherries	NA	NA
1382-f	1447427859727	40	sizeOnly	big_black_belt	target	2	1	small_brown_belt	distractor	3	3	small_black_belt	distractor	1	2	1	1	0	large black		1447427858801	large black	False	True	False	belt	big	black
1382-f	1447427862775	41	filler	cactus	target	3	1	violin	distractor	2	3	tire	distractor	1	2	1	1	0	green		1447427861791	green	False	False	False	cactus	NA	NA
1382-f	1447427865886	42	sizeOnly	small_blue_cap	target	2	2	big_orange_cap	distractor	3	1	big_blue_cap	distractor	1	3	1	1	0	small blue		1447427865004	small blue	True	True	False	cap	small	blue
1382-f	1447427868393	43	filler	smokedetector	target	1	2	horse	distractor	2	3	ketchup	distractor	3	1	1	1	0	alarm		1447427867491	alarm	False	False	False	smokedetector	NA	NA
1382-f	1447427871371	44	filler	broccoli	target	3	1	dresser	distractor	2	3	basketball	distractor	1	2	1	1	0	green		1447427870156	green	False	False	False	broccoli	NA	NA
1382-f	1447427874429	45	filler	kitten	target	3	2	basketball	distractor	2	3	baseball	distractor	1	1	1	1	0	cat		1447427873390	cat	False	False	False	kitten	NA	NA
1382-f	1447427877417	46	filler	lime	target	1	3	bulldozer	distractor	3	2	schoolbus	distractor	2	1	1	1	0	green		1447427876419	green	False	False	False	lime	NA	NA
1382-f	1447427883251	47	sizeOnly	big_purple_hairdryer	target	2	2	small_purple_hairdryer	distractor	3	3	small_pink_hairdryer	distractor	1	1	1	1	0	large purple		1447427881876	large purple	False	True	False	hairdryer	big	purple
1382-f	1447427885790	48	filler	santahat	target	1	3	fox	distractor	2	2	clarinet	distractor	3	1	1	1	0	red		1447427884733	red	False	False	False	santahat	NA	NA
1382-f	1447427889695	49	filler	bison	target	3	1	raspberry	distractor	1	2	flamingo	distractor	2	3	1	1	0	brown		1447427888592	brown	False	False	False	bison	NA	NA
1382-f	1447427892695	50	filler	zucchini	target	1	2	coconut	distractor	3	1	trumpet	distractor	2	3	1	1	0	green		1447427891743	green	False	False	False	zucchini	NA	NA
1382-f	1447427896750	51	colorAndSize	small_red_chair	target	1	3	big_green_chair	distractor	3	1	big_green_chair	distractor	2	2	1	1	0	orange		1447427895810	orange	False	False	False	chair	small	red
1382-f	1447427900417	52	sizeOnly	big_purple_bike	target	2	3	small_purple_bike	distractor	1	1	small_red_bike	distractor	3	2	1	1	0	large purple		1447427899546	large purple	False	True	False	bike	big	purple
