"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"33"	"2298-c"	1455301219988	63	"subSuperTrial"	"basic33"	"bedsideTable"	"target"	4	2	"table"	"furniture"	"motorcycle"	"distractor"	3	3	NA	"vehicle"	"cow"	"distractor"	2	4	NA	"animal"	"Furniture"	""	"1455301219004"	"Furniture"	"bedsideTable"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"47"	"2662-0"	1455301204178	26	"subSuperTrial"	"basic33"	"bedsideTable"	"target"	2	2	"table"	"furniture"	"cookies"	"distractor"	3	4	NA	"snack"	"pig"	"distractor"	4	3	NA	"animal"	"furniture"	""	"1455301202989"	"furniture"	"bedsideTable"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"58"	"2662-0"	1455301438291	48	"subSuperTrial"	"basic33"	"minivan"	"target"	4	4	"car"	"vehicle"	"wardrobe"	"distractor"	3	2	NA	"furniture"	"grasses"	"distractor"	2	3	NA	"plant"	"vehicle"	""	"1455301436383"	"vehicle"	"minivan"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"243"	"0082-3"	1455301049221	1	"subSuperTrial"	"basic12"	"husky"	"target"	3	3	"dog"	"animal"	"sheep"	"distractor"	4	4	NA	"animal"	"greyhound"	"distractor"	2	2	"dog"	"animal"	"alaska animal"	""	"1455301022723"	"alaska animal"	"husky"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"244"	"0082-3"	1455301175709	3	"subSuperTrial"	"basic33"	"dalmatian"	"target"	4	4	"dog"	"animal"	"gloves"	"distractor"	3	3	NA	"clothing"	"rosemary"	"distractor"	2	2	NA	"plant"	"animal that barks"	""	"1455301142531"	"animal that barks"	"dalmatian"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"249"	"0082-3"	1455301416944	13	"subSuperTrial"	"basic33"	"pandaBear"	"target"	2	2	"bear"	"animal"	"popcorn"	"distractor"	3	4	NA	"snack"	"bed"	"distractor"	4	3	NA	"furniture"	"animal"	""	"1455301414823"	"animal"	"pandaBear"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"254"	"0082-3"	1455301504768	22	"subSuperTrial"	"basic23"	"pigeon"	"target"	4	4	"bird"	"animal"	"elephant"	"distractor"	2	3	NA	"animal"	"bathrobe"	"distractor"	3	2	NA	"clothing"	"flying animal"	""	"1455301502922"	"flying animal"	"pigeon"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"255"	"0082-3"	1455301517866	23	"subSuperTrial"	"basic22"	"blackBear"	"target"	2	4	"bear"	"animal"	"squirrel"	"distractor"	3	2	NA	"animal"	"kitten"	"distractor"	4	3	NA	"animal"	"largest animal"	""	"1455301515799"	"largest animal"	"blackBear"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"259"	"0082-3"	1455301600087	31	"subSuperTrial"	"basic22"	"eagle"	"target"	2	2	"bird"	"animal"	"horse"	"distractor"	4	4	NA	"animal"	"kitten"	"distractor"	3	3	NA	"animal"	"flying animal"	""	"1455301597691"	"flying animal"	"eagle"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"269"	"0082-3"	1455301857361	52	"subSuperTrial"	"basic12"	"polarBear"	"target"	4	2	"bear"	"animal"	"koalaBear"	"distractor"	2	4	"bear"	"animal"	"snake"	"distractor"	3	3	NA	"animal"	"largest animal lives in forest___oops___lives in artic"	""	"1455301839649___1455301845704___1455301852849"	"largest animal lives in forest"	"polarBear"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"276"	"0082-3"	1455301990954	67	"subSuperTrial"	"basic22"	"minivan"	"target"	4	4	"car"	"vehicle"	"ambulance"	"distractor"	3	3	NA	"vehicle"	"train"	"distractor"	2	2	NA	"vehicle"	"family vehicle"	""	"1455301988490"	"family vehicle"	"minivan"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
"912"	"3908-9"	1455301777309	16	"subSuperTrial"	"basic23"	"dalmatian"	"target"	4	4	"dog"	"animal"	"firetruck"	"distractor"	3	2	NA	"vehicle"	"rhino"	"distractor"	2	3	NA	"animal"	"domestic animal friend"	""	"1455301775603"	"domestic animal friend"	"dalmatian"	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
