"gameid"	"time"	"roundNum"	"trialType"	"condition"	"nameClickedObj"	"targetStatusClickedObj"	"spLocsClickedObj"	"lisLocsClickedObj"	"basiclevelClickedObj"	"superdomainClickedObj"	"alt1Name"	"alt1TargetStatus"	"alt1SpLocs"	"alt1LisLocs"	"alt1Basiclevel"	"alt1superdomain"	"alt2Name"	"alt2TargetStatus"	"alt2SpLocs"	"alt2LisLocs"	"alt2Basiclevel"	"alt2superdomain"	"speakerMessages"	"listenerMessages"	"messageTimeStamps"	"refExp"	"clickedType"	"sub"	"basic"	"super"	"moreThanOneLevelMentioned"	"automaticallyLabelledTrial"	"manualAdditionTrial"	"additionalAttrMentioned"	"onlyAttrMentioned"	"onlySubAttr"	"onlyBasicAttr"	"onlySuperAttr"	"onlyOtherAttr"	"oneMentioned"	"theMentioned"	"fullSentence"	"noLevelMentioned"	"subAllAttr"	"basicAllAttr"	"superAllAttr"	"X"	"X.1"	"X.2"	"X.3"	"X.4"	"X.5"	"X.6"	"X.7"
"134"	"1997-d"	1455301459012	71	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	3	2	"dog"	"animal"	"elephant"	"distractor"	4	4	NA	"animal"	"greyhound"	"distractor"	2	3	"dog"	"animal"	"husky"	""	"1455301456901"	"husky"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"286"	"9165-a"	1455301176518	16	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	2	3	"dog"	"animal"	"greyhound"	"distractor"	4	2	"dog"	"animal"	"horse"	"distractor"	3	4	NA	"animal"	"german shepherd"	""	"1455301174727"	"german shepherd"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"422"	"9973-0"	1455301484053	72	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	4	2	"dog"	"animal"	"lobster"	"distractor"	2	3	NA	"animal"	"greyhound"	"distractor"	3	4	"dog"	"animal"	"german shepherd"	""	"1455301479770"	"german shepherd"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"460"	"4886-d"	1455301166798	6	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	4	4	"dog"	"animal"	"greyhound"	"distractor"	3	3	"dog"	"animal"	"sheep"	"distractor"	2	2	NA	"animal"	"gSheo___shep"	""	"1455301163268___1455301165242"	"gSheo"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"700"	"3084-5"	1455301675886	17	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	2	2	"dog"	"animal"	"hamster"	"distractor"	3	3	NA	"animal"	"greyhound"	"distractor"	4	4	"dog"	"animal"	"german shepherd"	""	"1455301669565"	"german shepherd"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"754"	"3197-1"	1455301847422	56	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	3	4	"dog"	"animal"	"sheep"	"distractor"	2	2	NA	"animal"	"greyhound"	"distractor"	4	3	"dog"	"animal"	"german shephard"	""	"1455301844478"	"german shephard"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"880"	"8344-c"	1455301802544	21	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	2	2	"dog"	"animal"	"greyhound"	"distractor"	3	4	"dog"	"animal"	"rabbit"	"distractor"	4	3	NA	"animal"	"german shep"	""	"1455301800781"	"german shep"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"975"	"0327-7"	1455302033942	66	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	3	3	"dog"	"animal"	"iguana"	"distractor"	4	4	NA	"animal"	"greyhound"	"distractor"	2	2	"dog"	"animal"	"german shpered"	""	"1455302032318"	"german shpered"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1090"	"6426-3"	1455302148483	10	"subSuperTrial"	"basic22"	"germanShepherd"	"target"	4	2	"dog"	"animal"	"squirrel"	"distractor"	2	3	NA	"animal"	"iguana"	"distractor"	3	4	NA	"animal"	"standing german shepard dog___ facing left"	""	"1455302142232"	"standing german shepard dog  facing left"	"germanShepherd"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1240"	"1511-d"	1455302216433	2	"subSuperTrial"	"basic33"	"germanShepherd"	"target"	2	2	"dog"	"animal"	"bathrobe"	"distractor"	4	3	NA	"clothing"	"popcorn"	"distractor"	3	4	NA	"snack"	"german shepard"	""	"1455302215198"	"german shepard"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1588"	"1625-9"	1455303661830	15	"subSuperTrial"	"basic23"	"germanShepherd"	"target"	3	3	"dog"	"animal"	"bed"	"distractor"	4	2	NA	"furniture"	"elephant"	"distractor"	2	4	NA	"animal"	"German Shepherd dog"	""	"1455303659847"	"German Shepherd dog"	"germanShepherd"	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1737"	"5699-7"	1455305592612	18	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	3	2	"dog"	"animal"	"greyhound"	"distractor"	2	4	"dog"	"animal"	"kitten"	"distractor"	4	3	NA	"animal"	"German shepard"	""	"1455305589701"	"German shepard"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1801"	"6625-1"	1455305742018	4	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	2	3	"dog"	"animal"	"iguana"	"distractor"	3	2	NA	"animal"	"greyhound"	"distractor"	4	4	"dog"	"animal"	"german shepard"	""	"1455305740099"	"german shepard"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"1884"	"4123-8"	1455306492823	25	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	2	3	"dog"	"animal"	"cow"	"distractor"	3	2	NA	"animal"	"greyhound"	"distractor"	4	4	"dog"	"animal"	"german shepherd"	""	"1455306491729"	"german shepherd"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
"2065"	"8883-2"	1455308997649	46	"subSuperTrial"	"basic12"	"germanShepherd"	"target"	2	4	"dog"	"animal"	"greyhound"	"distractor"	3	3	"dog"	"animal"	"rabbit"	"distractor"	4	2	NA	"animal"	"german shepard"	""	"1455308989701"	"german shepard"	"germanShepherd"	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	NA	NA	NA	NA	NA	NA	NA	NA
